id_municipio;uf;municipio;longitude;latitude;codigo_ibge
1963;MG;PRATINHA;-46,375537;-19,738975;
5195;SP;PRESIDENTE ALVES;-49,438133;-22,09991;354110
1964;MG;PRESIDENTE BERNARDES;-43,189532;-20,76557;354120
5196;SP;PRESIDENTE BERNARDES;-51,556507;-22,008198;354120
3457;PR;PRESIDENTE CASTELO BRANCO;-52,153563;-23,278233;412040
4569;SC;PRESIDENTE CASTELO BRANCO;-51,803342;-27,224778;412040
516;BA;PRESIDENTE DUTRA;-41,984341;-11,292345;292560
1276;MA;PRESIDENTE DUTRA;-44,49498;-5,289801;292560
5197;SP;PRESIDENTE EPITÁCIO;-52,11114;-21,765074;354130
173;AM;PRESIDENTE FIGUEIREDO;-60,02338;-2,029813;130353
4570;SC;PRESIDENTE GETÚLIO;-49,624609;-27,04743;
517;BA;PRESIDENTE JÂNIO QUADROS;-41,679792;-14,688485;292570
1277;MA;PRESIDENTE JUSCELINO;-44,07148;-2,918724;315320
1965;MG;PRESIDENTE JUSCELINO;-44,060032;-18,640106;315320
865;ES;PRESIDENTE KENNEDY;-41,0468;-21,096358;171840
5483;TO;PRESIDENTE KENNEDY;-48,506232;-8,540599;171840
1966;MG;PRESIDENTE KUBITSCHEK;-43,562774;-18,619252;
4206;RS;PRESIDENTE LUCENA;-51,179798;-29,517549;
1278;MA;PRESIDENTE MÉDICI;-45,820014;-2,389908;110025
3867;RO;PRESIDENTE MÉDICI;-61,898617;-11,168974;110025
4571;SC;PRESIDENTE NEREU;-49,388938;-27,27683;
1967;MG;PRESIDENTE OLEGÁRIO;-46,416502;-18,40961;315340
5198;SP;PRESIDENTE PRUDENTE;-51,392526;-22,120654;354140
1279;MA;PRESIDENTE SARNEY;-45,359492;-2,587991;
518;BA;PRESIDENTE TANCREDO NEVES;-39,420267;-13,447064;
1280;MA;PRESIDENTE VARGAS;-44,023403;-3,407866;
5199;SP;PRESIDENTE VENCESLAU;-51,844744;-21,873233;354150
